t,Angle,dAngle,P,I,D,k_speed,Speed,power,powerL,powerR,accX,accY,accZ,gyroX,gyroY,gyroZ
6.7984020709991455,4.04,9.72,-40.39,0.0,-3.4,-0.0,0.0,-48.0,1452.0,1548.0,-0.001,-1.256,0.065,9.72,1.49,-1.63
6.8983070850372314,4.86,-0.11,-48.65,0.0,0.04,-0.0,0.0,-53.0,1447.0,1553.0,0.029,-1.343,0.199,-0.11,14.0,-1.32
6.9983203411102295,4.39,0.81,-43.88,0.0,-0.28,-0.0,0.0,-48.0,1452.0,1548.0,-0.011,-1.259,-0.03,0.81,25.29,-1.93
7.099255084991455,6.69,-3.22,-66.95,0.0,1.13,-0.0,0.0,-72.0,1428.0,1572.0,0.007,-1.316,0.199,-3.22,2.77,0.51
7.1988091468811035,4.58,17.84,-45.8,0.0,-6.24,-0.0,0.0,-57.0,1443.0,1557.0,0.023,-1.328,0.071,17.84,-34.34,0.45
7.299026250839233,6.69,20.15,-66.93,0.0,-7.05,-0.0,0.0,-81.0,1419.0,1581.0,0.026,-1.248,0.281,20.15,14.67,-3.03
7.399669170379639,11.37,11.24,-113.68,0.0,-3.94,-0.0,0.0,-129.0,1371.0,1629.0,0.05,-1.43,0.408,11.24,17.91,-0.96
7.4989173412323,8.45,-48.45,-84.5,0.0,16.96,-0.0,0.0,-74.0,1426.0,1574.0,0.137,-1.396,0.161,-48.45,-25.0,-4.38
7.598679065704346,5.16,-64.01,-51.62,0.0,22.4,-0.0,0.0,-32.0,1468.0,1532.0,0.063,-1.331,0.025,-64.01,-22.01,-0.53
7.69873833656311,-1.42,-30.14,14.16,0.0,10.55,-0.0,0.0,21.0,1521.0,1479.0,-0.062,-1.186,-0.174,-30.14,16.08,5.51
7.7993080615997314,4.0,17.9,-39.99,0.0,-6.26,-0.0,0.0,-50.0,1450.0,1550.0,-0.057,-1.091,0.414,17.9,-103.37,-11.76
7.899394273757935,-0.44,17.1,4.38,0.0,-5.99,-0.0,0.0,-1.0,1499.0,1501.0,-0.004,-1.219,0.035,17.1,-10.05,-2.36
7.9986231327056885,0.27,-3.83,-2.69,0.0,1.34,-0.0,0.0,-1.0,1499.0,1501.0,-0.017,-1.341,0.022,-3.83,-30.68,-1.08
